Designator,Mid X,Mid Y,Rotation,Layer
R1,64.593474,28.5374,0.0,top
R10,190.323474,23.0744,270.0,top
R11,205.309474,23.0744,270.0,top
R12,220.295474,23.0744,270.0,top
R13,235.281474,23.0744,270.0,top
R14,250.267474,23.0744,270.0,top
R15,265.380474,23.0744,270.0,top
R16,280.239474,23.0744,270.0,top
R17,295.352474,23.0764,270.0,top
R18,303.690474,19.5204,0.0,top
R19,64.593474,3.1374,0.0,top
R2,53.163474,30.400375,270.0,top
R20,53.163474,5.000375,270.0,top
R21,85.294474,-2.3236,270.0,top
R22,100.153474,-2.3236,270.0,top
R23,115.520474,-2.3256,270.0,top
R24,130.252474,-2.1986,270.0,top
R25,145.238474,-2.3256,270.0,top
R26,160.351474,-2.3256,270.0,top
R27,175.337474,-2.3256,270.0,top
R28,190.323474,-2.3256,270.0,top
R29,205.309474,-2.3256,270.0,top
R3,85.294474,23.0764,270.0,top
R30,220.295474,-2.3256,270.0,top
R31,235.281474,-2.3256,270.0,top
R32,250.267474,-2.3256,270.0,top
R33,265.380474,-2.3256,270.0,top
R34,280.239474,-2.3256,270.0,top
R35,295.352474,-2.3236,270.0,top
R36,303.690474,-5.8796,0.0,top
R37,64.593474,-22.2626,0.0,top
R38,53.163474,-20.399625,270.0,top
R39,85.294474,-27.7236,270.0,top
R4,100.153474,23.0764,270.0,top
R40,100.153474,-27.7236,270.0,top
R41,115.520474,-27.7256,270.0,top
R42,130.252474,-27.5986,270.0,top
R43,145.238474,-27.7256,270.0,top
R44,160.351474,-27.7256,270.0,top
R45,175.337474,-27.7256,270.0,top
R46,190.323474,-27.7256,270.0,top
R47,205.309474,-27.7256,270.0,top
R48,220.295474,-27.7256,270.0,top
R49,235.281474,-27.7256,270.0,top
R5,115.520474,23.0744,270.0,top
R50,250.267474,-27.7256,270.0,top
R51,265.380474,-27.7256,270.0,top
R52,280.239474,-27.7256,270.0,top
R53,295.352474,-27.7236,270.0,top
R54,303.690474,-31.2796,0.0,top
R6,130.252474,23.2014,270.0,top
R7,145.238474,23.0744,270.0,top
R8,160.351474,23.0744,270.0,top
R9,175.337474,23.0744,270.0,top
U1,61.080474,21.446375,0.0,top
U10,47.590874,-29.353625,0.0,top
U11,60.910474,-18.053625,180.0,top
U12,47.420874,-18.053625,180.0,top
U2,60.910474,32.746375,180.0,top
U3,47.590874,21.446375,0.0,top
U4,47.420874,32.746375,180.0,top
U5,61.080474,-3.953625,0.0,top
U6,47.590874,-3.953625,0.0,top
U7,60.910474,7.346375,180.0,top
U8,47.420874,7.346375,180.0,top
U9,61.080474,-29.353625,0.0,top
